Job Title,Job link,Company,Salary,Experience,Min_Salary,Max_Salary,Experience(in yrs),Category
Project Manager,https://internshala.com/job/detail/project-manager-job-in-ahmedabad-at-v3cube1750984470,V3Cube,"₹ 10,00,000 - 12,00,000 /year",7 year(s),1000000,1200000,7,Project & Product Management
Sr. .Net Blazor Developer,https://internshala.com/job/detail/remote-sr-net-blazor-developer-job-at-web-idea-solution-llp1750898143,Web Idea Solution LLP,"₹ 10,00,000 - 12,00,000 /year",5 year(s),1000000,1200000,5,Software Development
QUALITY MANAGER,https://internshala.com/job/detail/quality-manager-job-in-hosur-at-almighty-hrd-consultants1750811484,Almighty HRD Consultants,"₹ 10,00,000 - 12,00,000 /year",12 year(s),1000000,1200000,12,Quality Assurance & Testing
Python Developer,https://internshala.com/job/detail/python-developer-job-in-mohali-at-nexus-jobs1748565016,Nexus Jobs,"₹ 10,00,000 - 12,00,000 /year",4 year(s),1000000,1200000,4,Data & AI
Performance Test Engineer,https://internshala.com/job/detail/performance-test-engineer-job-in-bangalore-at-aliqan-technologies1747701020,ALIQAN Technologies,"₹ 9,60,000 - 24,00,000 /year",7 year(s),960000,2400000,7,Software Development
RPA Business Analyst,https://internshala.com/job/detail/remote-rpa-business-analyst-job-at-intineri-infosol-private-limited1750186843,INTINERI INFOSOL PRIVATE LIMITED,"₹ 9,60,000 - 16,80,000 /year",7 year(s),960000,1680000,7,Data & AI
Automation Anywhere,https://internshala.com/job/detail/remote-automation-anywhere-job-at-intineri-infosol-private-limited1748910630,INTINERI INFOSOL PRIVATE LIMITED,"₹ 9,60,000 - 16,80,000 /year",7 year(s),960000,1680000,7,Other
SAP ABAP,https://internshala.com/job/detail/sap-abap-job-in-bangalore-at-aliqan-technologies1749103467,ALIQAN Technologies,"₹ 9,60,000 - 12,00,000 /year",7 year(s),960000,1200000,7,SAP & ERP
SAP FICO Consultant,https://internshala.com/job/detail/sap-fico-consultant-job-in-pune-at-intineri-infosol-private-limited1751589092,INTINERI INFOSOL PRIVATE LIMITED,"₹ 9,00,000 - 30,00,000 /year",7 year(s),900000,3000000,7,SAP & ERP
Senior Sap MM Consultant,https://internshala.com/job/detail/senior-sap-mm-consultant-job-in-pune-at-intineri-infosol-private-limited1751070686,INTINERI INFOSOL PRIVATE LIMITED,"₹ 9,00,000 - 24,00,000 /year",7 year(s),900000,2400000,7,SAP & ERP
SAP SD Consultant,https://internshala.com/job/detail/sap-sd-consultant-job-in-pune-at-intineri-infosol-private-limited1750897970,INTINERI INFOSOL PRIVATE LIMITED,"₹ 9,00,000 - 22,00,000 /year",6 year(s),900000,2200000,6,SAP & ERP
